alegeri,diaspora,timestamp,Votantilista,Votantipelistapermanenta,Votantipelistacomplementara,inscrisi_L_permanente,inscrisi_L_complementare,LP,LS,LSC,UM,LT,M_1824,M_2534,M_3544,M_4564,M_65+,F_1824,F_2534,F_3544,F_4564,F_65+
2024-prez-1,0,2024-11-22 01:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 01:00,,,,0,,0,0,4194,0,4194,165,466,747,685,71,175,531,692,596,66
2024-prez-1,0,2024-11-22 02:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 02:00,,,,0,,0,7,4204,0,4211,165,467,749,689,72,177,532,694,599,67
2024-prez-1,0,2024-11-22 03:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 03:00,,,,0,,0,7,4212,0,4219,165,468,749,692,72,177,533,694,601,68
2024-prez-1,0,2024-11-22 04:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 04:00,,,,0,,0,17,4212,0,4229,166,468,752,693,74,177,533,695,603,68
2024-prez-1,0,2024-11-22 05:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 05:00,,,,0,,0,32,4216,0,4248,167,469,753,696,76,178,533,700,604,72
2024-prez-1,0,2024-11-22 06:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 06:00,,,,0,,0,57,4218,0,4275,168,473,756,699,79,180,536,703,607,74
2024-prez-1,0,2024-11-22 07:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 07:00,,,,0,,0,91,4218,0,4309,169,479,760,702,80,180,540,711,614,74
2024-prez-1,0,2024-11-22 08:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 08:00,,,,0,,0,121,4227,0,4348,170,486,766,709,81,183,545,716,617,75
2024-prez-1,0,2024-11-22 09:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 09:00,,,,0,,0,150,4227,0,4377,170,492,770,712,83,184,548,719,623,76
2024-prez-1,0,2024-11-22 10:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 10:00,,,,0,,0,181,4227,0,4408,171,496,777,715,83,185,550,722,632,77
2024-prez-1,0,2024-11-22 11:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 11:00,,,,0,,0,245,4227,0,4472,174,504,791,719,87,189,555,733,639,81
2024-prez-1,0,2024-11-22 12:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 12:00,,,,0,,0,383,4227,0,4610,181,519,815,743,88,194,567,753,667,83
2024-prez-1,0,2024-11-22 13:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 13:00,,,,0,,0,2137,4227,0,6364,239,638,1021,1018,268,238,665,978,1043,256
2024-prez-1,0,2024-11-22 14:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 14:00,,,,0,,0,8918,4227,0,13145,584,1232,1979,2200,516,610,1232,1901,2404,487
2024-prez-1,0,2024-11-22 15:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 15:00,,,,0,,0,13461,4227,0,17688,799,1697,2655,2972,697,866,1672,2455,3206,669
2024-prez-1,0,2024-11-22 16:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 16:00,,,,0,,0,16976,4227,0,21203,978,2089,3133,3537,821,1095,2033,2838,3828,851
2024-prez-1,0,2024-11-22 17:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 17:00,,,,0,,0,20325,4227,0,24552,1176,2471,3608,4154,927,1326,2336,3200,4389,965
2024-prez-1,0,2024-11-22 18:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 18:00,,,,0,,0,24125,4227,0,28352,1384,2880,4157,4826,1025,1589,2694,3683,5032,1082
2024-prez-1,0,2024-11-22 19:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 19:00,,,,0,,0,28132,4227,0,32359,1581,3378,4742,5543,1109,1839,3151,4190,5661,1165
2024-prez-1,0,2024-11-22 20:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 20:00,,,,0,,0,32714,4227,0,36941,1867,3940,5502,6318,1191,2118,3657,4774,6314,1260
2024-prez-1,0,2024-11-22 21:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 21:00,,,,0,,0,36689,4227,0,40916,2121,4501,6146,6943,1252,2374,4180,5255,6802,1342
2024-prez-1,0,2024-11-22 22:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-22 22:00,,,,0,,0,39477,4227,0,43704,2308,4951,6640,7323,1298,2561,4526,5593,7111,1393
2024-prez-1,0,2024-11-23 00:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 00:00,,,,0,,0,40516,4227,0,44743,2371,5141,6806,7461,1333,2604,4682,5705,7218,1422
2024-prez-1,0,2024-11-23 01:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 01:00,,,,0,,0,40686,4227,0,44913,2375,5151,6818,7504,1356,2607,4690,5717,7252,1443
2024-prez-1,0,2024-11-23 02:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 02:00,,,,0,,0,40882,4227,0,45109,2381,5172,6837,7546,1367,2614,4706,5734,7289,1463
2024-prez-1,0,2024-11-23 03:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 03:00,,,,0,,0,41055,4227,0,45282,2391,5184,6851,7590,1380,2620,4718,5749,7322,1477
2024-prez-1,0,2024-11-23 04:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 04:00,,,,0,,0,41226,4227,0,45453,2397,5196,6864,7635,1394,2623,4728,5768,7362,1486
2024-prez-1,0,2024-11-23 05:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 05:00,,,,0,,0,41326,4227,0,45553,2399,5201,6876,7657,1398,2630,4738,5780,7379,1495
2024-prez-1,0,2024-11-23 15:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 15:00,,,,0,,0,104089,4227,0,108316,4717,11808,16816,22302,4086,4850,9842,12206,17512,4177
2024-prez-1,0,2024-11-23 16:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 16:00,,,,0,,0,120899,4227,0,125126,5558,13909,19490,25567,4455,5662,11499,14122,20195,4669
2024-prez-1,0,2024-11-23 17:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 17:00,,,,0,,0,138694,4227,0,142921,6425,16189,22343,29021,4834,6605,13332,16191,22857,5124
2024-prez-1,0,2024-11-23 18:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 18:00,,,,0,,0,157426,4227,0,161653,7392,18698,25466,32529,5139,7571,15341,18444,25567,5506
2024-prez-1,0,2024-11-23 19:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 19:00,,,,0,,0,176184,4227,0,180411,8388,21166,28610,36090,5435,8522,17284,20700,28365,5851
2024-prez-1,0,2024-11-23 20:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 20:00,,,,0,,0,193369,4227,0,197596,9317,23533,31485,39331,5692,9387,19129,22811,30774,6137
2024-prez-1,0,2024-11-23 21:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 21:00,,,,0,,0,206402,4227,0,210629,10121,25483,33699,41517,5835,10187,20644,24400,32433,6310
2024-prez-1,0,2024-11-23 22:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 22:00,,,,0,,0,214291,4227,0,218518,10677,26799,35053,42690,5931,10673,21637,25304,33338,6416
2024-prez-1,0,2024-11-23 23:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-23 23:00,,,,0,,0,216553,4227,0,220780,10827,27220,35452,43015,5982,10806,21904,25531,33580,6463
2024-prez-1,0,2024-11-24 00:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 00:00,,,,0,,0,216913,4227,0,221140,10838,27241,35495,43104,6010,10821,21919,25563,33660,6489
2024-prez-1,0,2024-11-24 01:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 01:00,,,,0,,0,217322,4227,0,221549,10849,27268,35532,43191,6050,10829,21953,25608,33746,6523
2024-prez-1,0,2024-11-24 02:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 02:00,,,,0,,0,217673,4227,0,221900,10854,27298,35570,43280,6071,10834,21975,25644,33821,6553
2024-prez-1,0,2024-11-24 03:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 03:00,,,,0,,0,217938,4227,0,222165,10859,27314,35601,43350,6086,10838,21995,25674,33876,6572
2024-prez-1,0,2024-11-24 04:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 04:00,,,,0,,0,218218,4227,0,222445,10872,27327,35635,43416,6103,10850,22016,25708,33927,6591
2024-prez-1,0,2024-11-24 05:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 05:00,,,,0,,0,218417,4227,0,222644,10879,27350,35669,43445,6113,10863,22033,25728,33963,6601
2024-prez-1,0,2024-11-24 06:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 06:00,,,,0,,0,218604,4227,0,222831,10888,27368,35696,43486,6123,10866,22054,25750,33995,6605
2024-prez-1,0,2024-11-24 07:00,,,,18008480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-prez-1,1,2024-11-24 07:00,,,,0,,0,218791,4227,0,223018,10895,27388,35734,43516,6132,10869,22064,25788,34021,6611
2024-prez-1,0,2024-11-24 08:00,,,,18008480,,166253,64369,0,16,230638,7176,12184,19270,54093,28421,7445,12043,19020,46551,24435
2024-prez-1,1,2024-11-24 08:00,,,,0,,0,219495,4227,0,223722,10908,27424,35805,43694,6203,10877,22102,25850,34183,6676
2024-prez-1,0,2024-11-24 09:00,,,,18008480,,441620,98247,0,204,540071,13176,23307,39757,127198,83610,12806,20497,34143,105610,79967
2024-prez-1,1,2024-11-24 09:00,,,,0,,0,223451,4227,0,227678,11019,27703,36356,44838,6454,10967,22260,26201,34935,6945
2024-prez-1,0,2024-11-24 10:00,,,,18008480,,911599,147386,0,1457,1060442,22974,42431,73868,242707,178185,22023,37128,61744,205536,173846
2024-prez-1,1,2024-11-24 10:00,,,,0,,0,233227,4227,0,237454,11249,28412,37763,47710,7097,11127,22683,26983,36852,7578
2024-prez-1,0,2024-11-24 11:00,,,,18008480,,1555506,220332,0,6276,1782114,40112,74240,126322,390758,298100,38809,67782,106959,341753,297279
2024-prez-1,1,2024-11-24 11:00,,,,0,,0,256118,4227,0,260345,11910,30231,41464,54514,8224,11545,23816,28958,41000,8683
2024-prez-1,0,2024-11-24 12:00,,,,18008480,,2332155,315484,0,16587,2664226,65923,118129,193464,552234,425738,64756,112715,169562,507587,454118
2024-prez-1,1,2024-11-24 12:00,,,,0,,0,298084,4227,0,302311,13435,34495,48526,65569,9654,12664,26645,33072,48146,10105
2024-prez-1,0,2024-11-24 13:00,,,,18008480,,3147992,420534,0,31171,3599697,100024,169611,267242,718034,544041,99373,166218,242388,685500,607266
2024-prez-1,1,2024-11-24 13:00,,,,0,,0,356147,4227,0,360374,15819,41418,58801,78966,10990,14680,31659,39572,56841,11628
2024-prez-1,0,2024-11-24 14:00,,,,18008480,,3885632,523968,0,46585,4456185,137916,223136,339789,872602,635749,138253,221464,315516,850452,721308
2024-prez-1,1,2024-11-24 14:00,,,,0,,0,422566,4227,0,426793,19049,50049,70555,92471,12194,17435,38164,47365,66317,13194
2024-prez-1,0,2024-11-24 15:00,,,,18008480,,4584628,626806,0,61364,5272798,176698,276404,409273,1018213,714591,178631,277365,388632,1010251,822740
2024-prez-1,1,2024-11-24 15:00,,,,0,,0,488713,4227,0,492940,22760,59297,81969,104707,13182,20589,45129,55230,75504,14573
2024-prez-1,0,2024-11-24 16:00,,,,18008480,,5261965,727825,0,73935,6063725,215497,330173,479804,1160733,781999,219751,334865,463638,1166887,910378
2024-prez-1,1,2024-11-24 16:00,,,,0,,0,551967,4227,0,556194,26709,68291,92673,115621,13997,23783,52052,62876,84370,15822
2024-prez-1,0,2024-11-24 17:00,,,,18008480,,5940341,830760,0,82559,6853660,254493,387626,556861,1305837,837660,261870,398206,545448,1324639,981020
2024-prez-1,1,2024-11-24 17:00,,,,0,,0,613012,4227,0,617239,30475,76700,103085,125797,14737,27083,58866,70594,92969,16933
2024-prez-1,0,2024-11-24 18:00,,,,18008480,,6563124,930785,0,88959,7582868,293025,445679,637124,1444000,876439,302766,460981,627535,1467360,1027959
2024-prez-1,1,2024-11-24 18:00,,,,0,,0,670776,4227,0,675003,33980,84759,112858,135353,15388,30224,65537,78002,100969,17933
2024-prez-1,0,2024-11-24 19:00,,,,18008480,,6995723,1010756,0,93900,8100379,324637,492208,699231,1540364,895867,334693,508822,689467,1563789,1051301
2024-prez-1,1,2024-11-24 19:00,,,,0,,0,722704,4227,0,726931,37169,92056,121747,143852,15937,33078,71702,84768,107922,18700
2024-prez-1,0,2024-11-24 20:00,,,,18008480,,7283429,1072303,0,96055,8451787,348632,526587,743312,1603791,905398,358275,542733,733028,1627491,1062540
2024-prez-1,1,2024-11-24 20:00,,,,0,,0,763352,4227,0,767579,39809,98031,128769,150155,16355,35502,76508,90062,113062,19326
2024-prez-1,0,2024-11-24 21:00,,,,18008480,,7429669,1115024,0,96949,8641642,363921,547810,769378,1634999,909577,372765,562446,756835,1657068,1066843
2024-prez-1,1,2024-11-24 21:00,,,,0,,0,791055,4227,0,795282,41750,102379,133590,154126,16631,37216,79933,93636,116312,19709
